Cod_Interaguas;Código Ponto;Status Ponto;Data Coleta;Hora Coleta;Oxigênio Dissolvido mg/l;Escherichia coli** UFC/100mL;PH U.pH;Temperatura Da Agua C°;Nitrogênio Total;Nitrogênio-Nitrito mg/l;Nitrogênio-Nitrato mg/L;Nitrogênio Kjeldahl mg/l;Nitrogênio Amoniacal mg/L;Fósforo Total mg/l;Turbidez (UNT);Sólido Total;;;;;;Oxigênio Dissolvido mg/l;Escherichia coli** UFC/100mL;PH U.pH;Temperatura Da Agua C°;Nitrogênio Total;Fósforo Total mg/l        ;Turbidez (UNT)        ;Sólido Total;Total
2535;SABO22500;Ativo;18/09/2024;09:56;1,60;530.000,00;7,09;20,00;16,12;0,09;0,12;9,35;6,56;1,13;17,70;3.170;Rio Saboó - SABO;Rio (Lótico);Salobra 2;SANTOS;SP;1,093;9,400;1,290;1,390;1,358;1,014;1,295;2,066;67,870
2535;SABO22500;Ativo;11/12/2024;09:19;3,90;320.000,00;7,10;22,00;9,15;;0,78;4,80;3,57;0,86;7,73;158;Rio Saboó - SABO;Rio (Lótico);Salobra 2;SANTOS;SP;1,295;8,627;1,290;1,405;1,276;0,984;1,202;1,577;48,181
2535;SABO22500;Ativo;12/03/2025;09:56;2,20;310.000,00;6,91;26,00;13,60;;;7,86;5,74;1,08;10,00;5.240;Rio Saboó - SABO;Rio (Lótico);Salobra 2;SANTOS;SP;1,162;8,581;1,286;1,431;1,333;1,009;1,230;2,161;65,536
2535;SABO22500;Ativo;04/06/2025;09:41;6,10;48.000,00;7,00;22,00;12,74;;;7,54;5,20;0,84;13,90;756;Rio Saboó - SABO;Rio (Lótico);Salobra 2;SANTOS;SP;1,410;6,249;1,288;1,405;1,323;0,981;1,267;1,816;47,614
2535;SABO22500;Ativo;03/09/2025;09:52;2,52;210.000,00;6,86;22,00;14,48;;;8,62;5,86;0,02;8,00;292;Rio Saboó - SABO;Rio (Lótico);Salobra 2;SANTOS;SP;1,192;8,031;1,284;1,405;1,342;0,650;1,206;1,667;30,296
2535;SABO22500;Ativo;03/12/2025;09:31;2,33;330.000,00;6,93;25,00;19,10;;;14,40;4,70;0,86;10,30;768;Rio Saboó - SABO;Rio (Lótico);Salobra 2;SANTOS;SP;1,174;8,673;1,286;1,425;1,383;0,984;1,234;1,818;56,959
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
